ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"27.123.3.139","elite","AS45706","ID","PT Tele Globe Global","163","N/A","4145","socks4","1105","1","2023-03-07T05:08:31.126Z","99","1183","1192"
"202.58.199.204","elite","AS45701","ID","Internet Madju Abad Millenindo, PT","290","Millenindo","5678","socks5","1238","1","2023-03-07T05:08:31.521Z","98","1114","1136"
"111.91.231.65","elite","AS38571","IN","Star Broadband Services","228","SBS","4153","socks4","1197","1","2023-03-07T05:08:30.789Z","99","1084","1091"
"190.249.169.153","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","145","EPM Telecomunicaciones S.A. E.S.P","3629","socks4","1204","1","2023-03-07T05:08:30.781Z","97","1163","1195"
"79.141.173.165","elite","AS202015","US","N/A","114","Hostzealot LTD","3128","socks4","1167","1","2023-03-07T05:08:30.371Z","47","512","1094"
"94.232.11.178","elite","AS12714","RU","PJSC MegaFon","63","Net By Net Holding LLC","58028","socks4","1232","1","2023-03-07T05:08:30.329Z","99","1177","1194"
"170.80.91.13","elite","AS264820","CR","Corebases S.A","157","Corebases S.A","4145","socks4","1230","1","2023-03-07T05:08:30.362Z","99","1170","1181"
"79.127.127.7","elite","AS43754","IR","Asiatech Data Transmission company","99","Asiatech Data Transmission company","1369","socks4","1215","1","2023-03-07T05:08:30.787Z","77","923","1195"
"222.165.226.221","elite","AS24207","ID","PT NettoCyber Indonesia","202","N/A","3629","socks4","1204","4","2023-03-07T05:08:30.788Z","97","1156","1194"
"103.88.221.194","elite","AS136334","IN","Vortex Netsol Private Limited","198","Vortex Netsol Private Limited","46450","socks4","1250","1","2023-03-07T05:08:30.765Z","100","1117","1119"
"201.234.24.89","elite","AS265758","AR","Cooperativa De Obras Y Servicios Publicos De Despenaderos Limitada","227","Level 3 Argentina S.A","4153","socks4","1088","1","2023-03-07T05:08:30.783Z","99","1139","1149"
"46.231.72.35","elite","AS34093","CZ","NWT","33","N/A","5678","socks4","1126","1","2023-03-07T05:08:30.367Z","97","1110","1143"
